City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,caleta de carquin,-11.0925,-77.6267,22.32,80,100,4.02,PE,2025-02-05
261,niafunke,15.9322,-3.9906,22.72,11,100,3.54,ML,2025-02-05
262,kruisfontein,-34.0033,24.7314,20.42,82,100,5.04,ZA,2025-02-05
263,talnakh,69.4865,88.3972,-24.52,96,95,3.01,RU,2025-02-05
264,key west,24.5557,-81.7826,24.0,86,0,5.66,US,2025-02-05
265,claye-souilly,48.9449,2.6857,3.01,98,100,3.6,FR,2025-02-05
266,hithadhoo,-0.6,73.0833,27.68,68,6,4.57,MV,2025-02-05
267,ilek,51.5271,53.3831,-10.26,86,52,4.8,RU,2025-02-05
268,la ronge,55.1001,-105.2842,-22.86,77,0,2.06,CA,2025-02-05
269,corn island,12.1694,-83.0418,26.63,81,92,9.95,NI,2025-02-05
270,tamanrasset,22.785,5.5228,12.95,18,0,1.03,DZ,2025-02-05
271,forster,-32.1667,152.5167,30.21,70,23,4.7,AU,2025-02-05
272,petropavlovsk-kamchatsky,53.0452,158.6483,-3.67,54,75,3.0,RU,2025-02-05
273,shingu,33.7333,135.9833,3.69,41,4,6.34,JP,2025-02-05
274,san andres,12.5847,-81.7006,26.01,89,40,8.23,CO,2025-02-05
275,honefoss,60.168,10.2565,3.15,100,100,4.11,NO,2025-02-05
276,kiama,-34.6833,150.8667,24.58,84,100,1.34,AU,2025-02-05
277,mount isa,-20.7333,139.5,31.87,51,20,3.6,AU,2025-02-05
278,chibougamau,49.9168,-74.3659,-23.21,70,0,4.12,CA,2025-02-05
279,altdorf,49.3875,11.3572,-3.82,91,11,1.17,DE,2025-02-05
280,katsuura,35.1333,140.3,4.81,45,100,3.35,JP,2025-02-05
281,anadyr,64.75,177.4833,-29.72,67,5,9.0,RU,2025-02-05
282,ambon,-3.6954,128.1814,31.62,100,40,1.03,ID,2025-02-05
283,el calafate,-50.3408,-72.2768,10.48,61,88,4.73,AR,2025-02-05
284,tezu,27.9167,96.1667,16.04,51,19,1.57,IN,2025-02-05
285,bahcelievler,41.0023,28.8598,5.71,52,75,5.66,TR,2025-02-05
286,helena valley west central,46.6629,-112.0604,-19.51,78,100,4.12,US,2025-02-05
287,ulundi,-28.3352,31.4162,20.14,87,2,1.9,ZA,2025-02-05
288,fenoarivo be,-18.4333,46.5667,19.47,97,100,1.12,MG,2025-02-05
289,happy valley-goose bay,53.3168,-60.3315,-15.83,66,75,6.17,CA,2025-02-05
290,tabou,4.423,-7.3528,26.2,86,39,2.46,CI,2025-02-05
291,qamdo,31.1667,97.2333,-2.19,51,10,1.87,CN,2025-02-05
292,vorgashor,67.5833,63.95,-17.67,95,100,2.87,RU,2025-02-05
293,kuhmo,64.1333,29.5167,-16.18,91,100,4.69,FI,2025-02-05
294,newman,37.3138,-121.0208,16.7,73,100,5.81,US,2025-02-05
295,benghazi,32.1167,20.0667,15.82,64,12,5.14,LY,2025-02-05
